Source,Target,Type,Id,Label
0,15,,,
0,19,,,
15,5,,,
15,19,,,
1,3,,,
1,6,,,
1,12,,,
3,6,,,
3,12,,,
6,12,,,
2,9,,,
2,10,,,
2,13,,,
2,18,,,
9,10,,,
9,13,,,
10,13,,,
10,18,,,
18,20,,,
18,23,,,
4,7,,,
4,22,,,
7,22,,,
8,14,,,
8,17,,,
8,20,,,
8,21,,,
8,23,,,
14,17,,,
14,20,,,
14,21,,,
14,23,,,
17,20,,,
17,21,,,
17,23,,,
20,21,,,
20,23,,,
21,23,,,
