origin,destination,landing_data,takeoff_data
SBGR,KDFW,12/01/2023 08:13,12/01/2023 08:13
KDFW,SBGR,12/01/2023 08:35,12/01/2023 08:35
KMIA,SBGR,11/01/2023 09:15,11/01/2023 09:15
SBGR,KMIA,12/01/2023 06:30,12/01/2023 06:30
KMIA,SBGR,13/01/2023 06:20,13/01/2023 06:20
SBGR,KMIA,13/01/2023 07:00,13/01/2023 07:00
SBGR,KJFK,13/01/2023 09:03,13/01/2023 09:03
KJFK,SBGR,12/01/2023 10:25,12/01/2023 10:25
SBGR,KDFW,13/01/2023 08:13,13/01/2023 08:13
KDFW,SBGR,13/01/2023 08:35,13/01/2023 08:35
KMIA,SBGR,12/01/2023 09:15,12/01/2023 09:15
SBGR,KMIA,13/01/2023 06:30,13/01/2023 06:30
KMIA,SBGR,14/01/2023 06:20,14/01/2023 06:20
SBGR,KMIA,14/01/2023 07:00,14/01/2023 07:00
SBGR,KJFK,14/01/2023 09:03,14/01/2023 09:03
KJFK,SBGR,13/01/2023 10:25,13/01/2023 10:25
SBGR,KDFW,14/01/2023 08:13,14/01/2023 08:13
KDFW,SBGR,14/01/2023 08:35,14/01/2023 08:35
KMIA,SBGR,13/01/2023 09:15,13/01/2023 09:15
SBGR,KMIA,14/01/2023 06:30,14/01/2023 06:30
KMIA,SBGR,15/01/2023 06:20,15/01/2023 06:20
SBGR,KMIA,15/01/2023 07:00,15/01/2023 07:00
KJFK,SBGR,14/01/2023 10:25,14/01/2023 10:25
KDFW,SBGR,15/01/2023 08:35,15/01/2023 08:35
KMIA,SBGR,14/01/2023 09:15,14/01/2023 09:15
SBGR,KMIA,15/01/2023 06:30,15/01/2023 06:30
KMIA,SBGR,16/01/2023 06:20,16/01/2023 06:20
SBGR,KMIA,16/01/2023 07:00,16/01/2023 07:00
SBGR,KJFK,16/01/2023 09:03,16/01/2023 09:03
KJFK,SBGR,15/01/2023 10:25,15/01/2023 10:25
SBGR,KDFW,16/01/2023 08:13,16/01/2023 08:13
KDFW,SBGR,16/01/2023 08:35,16/01/2023 08:35
KMIA,SBGR,15/01/2023 09:15,15/01/2023 09:15
SBGR,KMIA,16/01/2023 06:30,16/01/2023 06:30
KMIA,SBGR,17/01/2023 06:20,17/01/2023 06:20
SBGR,KMIA,17/01/2023 07:00,17/01/2023 07:00
SBGR,KJFK,17/01/2023 09:03,17/01/2023 09:03
KJFK,SBGR,16/01/2023 10:25,16/01/2023 10:25
SBGR,KDFW,17/01/2023 08:13,17/01/2023 08:13
KDFW,SBGR,17/01/2023 08:35,17/01/2023 08:35
KMIA,SBGR,16/01/2023 09:15,16/01/2023 09:15
SBGR,KMIA,17/01/2023 06:30,17/01/2023 06:30
KMIA,SBGR,18/01/2023 06:20,18/01/2023 06:20
SBGR,KMIA,18/01/2023 07:00,18/01/2023 07:00
SBGR,KJFK,18/01/2023 09:03,18/01/2023 09:03
KJFK,SBGR,17/01/2023 10:25,17/01/2023 10:25
SBGR,KDFW,18/01/2023 08:13,18/01/2023 08:13
KDFW,SBGR,18/01/2023 08:35,18/01/2023 08:35
KMIA,SBGR,17/01/2023 09:15,17/01/2023 09:15
SBGR,KMIA,18/01/2023 06:30,18/01/2023 06:30
KMIA,SBGR,19/01/2023 06:20,19/01/2023 06:20
SBGR,KMIA,19/01/2023 07:00,19/01/2023 07:00
SBGR,KJFK,19/01/2023 09:03,19/01/2023 09:03
KJFK,SBGR,18/01/2023 10:25,18/01/2023 10:25
SBGR,KDFW,19/01/2023 08:13,19/01/2023 08:13
KDFW,SBGR,19/01/2023 08:35,19/01/2023 08:35
KMIA,SBGR,18/01/2023 09:15,18/01/2023 09:15
SBGR,KMIA,19/01/2023 06:30,19/01/2023 06:30
KMIA,SBGR,20/01/2023 06:20,20/01/2023 06:20
SBGR,KMIA,20/01/2023 07:00,20/01/2023 07:00
SBGR,KJFK,20/01/2023 09:03,20/01/2023 09:03
KJFK,SBGR,19/01/2023 10:25,19/01/2023 10:25
SBGR,KDFW,20/01/2023 08:13,20/01/2023 08:13
